destino,lat,lon,clientes_fcarnes,macro_region,distancia_km,tiempo_horas,costo_casetas,costo_combustible,costo_total,zona_logistica,source,num_points,sakbe_status,sakbe_distance_km,sakbe_duration_min,sakbe_costo_casetas,sakbe_costo_combustible,sakbe_costo_total,sakbe_source,sakbe_warning,sakbe_num_segments,diff_distance_km,diff_distance_pct,diff_costo_total,diff_costo_pct,costo_casetas_final,costo_combustible_final,costo_total_final,fuente_costos
González,22.828,-98.4302,1,NORESTE,423.94,6.1,1165.84,1865.34,3031.17,FORANEA,here_routing,3015,estimation,482.19,413.3,241.09,2120.17,2361.27,estimation,"Estimated using haversine distance (factor=1.3). API error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1,58.25,13.7,-669.9000000000001,-22.1,1165.84,1865.34,3031.18,ESTIMACION
San Buenaventura,19.3075,-98.8605,1,NORESTE,939.59,13.4,2583.87,4134.2,6718.07,LEJANA,here_routing,6786,success,1210.81,804.9,3741.0,5323.93,9064.93,sakbe_segmented,,4,271.2199999999999,28.9,2346.8600000000006,34.9,3741.0,5323.93,9064.93,SAKBE_INEGI
Jaumave,23.4055,-99.3812,1,NORESTE,370.75,5.3,1019.56,1631.3,2650.86,FORANEA,here_routing,2966,success,349.93,274.4,0.0,1538.64,1538.64,sakbe,,1,-20.819999999999993,-5.6,-1112.22,-42.0,0.0,1538.64,1538.64,SAKBE_INEGI
Soto la Marina,23.7699,-98.2063,1,NORESTE,393.98,5.6,1083.45,1733.51,2816.96,FORANEA,here_routing,2831,success,380.49,287.5,0.0,1673.01,1673.01,sakbe,,1,-13.490000000000009,-3.4,-1143.95,-40.6,0.0,1673.01,1673.01,SAKBE_INEGI
Guerrero,28.3097,-100.378,1,FRONTERA_NORTE,347.91,5.0,956.75,1530.8,2487.56,FORANEA,here_routing,1914,success,344.12,236.0,621.0,1513.1,2134.1,sakbe,,1,-3.7900000000000205,-1.1,-353.46000000000004,-14.2,621.0,1513.1,2134.1,SAKBE_INEGI
Frontera,26.9324,-101.4575,1,NORESTE,242.23,3.5,666.13,1065.81,1731.94,REGIONAL,here_routing,2120,success,198.43,178.8,0.0,872.5,872.5,sakbe,,1,-43.79999999999998,-18.1,-859.44,-49.6,0.0,872.5,872.5,SAKBE_INEGI
San Rafael,19.2056,-98.7657,1,GOLFO_SURESTE,958.18,13.7,2634.99,4215.99,6850.99,LEJANA,here_routing,7128,success,1261.53,885.0,2370.92,5546.94,7917.86,sakbe_mixed_3/4,Route calculated in 4 segments. 3 used Sakbe API.,4,303.35,31.7,1066.87,15.6,2370.92,5546.94,7917.86,SAKBE_INEGI
Tamazunchale,21.256,-98.7822,1,NORESTE,636.52,9.1,1750.43,2800.69,4551.12,FORANEA,here_routing,5984,success,767.3,530.3,1327.0,3373.82,4700.82,sakbe_segmented,,2,130.77999999999997,20.5,149.69999999999982,3.3,1327.0,3373.82,4700.82,SAKBE_INEGI
San Juan de los Lagos,21.2492,-102.3287,1,OCCIDENTE,662.24,9.5,1821.16,2913.86,4735.02,FORANEA,here_routing,4769,success,733.8,564.1,679.64,3226.53,3906.16,sakbe_mixed_1/2,Route calculated in 2 segments. 1 used Sakbe API.,2,71.55999999999995,10.8,-828.8600000000006,-17.5,679.64,3226.53,3906.17,SAKBE_INEGI
Ciudad Valles,21.9952,-99.0103,1,NORESTE,529.72,7.6,1456.73,2330.77,3787.5,FORANEA,here_routing,4008,success,669.76,453.1,1235.0,2944.93,4179.93,sakbe_segmented,,2,140.03999999999996,26.4,392.4300000000003,10.4,1235.0,2944.93,4179.93,SAKBE_INEGI
Acayucan,17.9498,-94.9162,1,GOLFO_SURESTE,1196.77,17.1,3291.12,5265.79,8556.91,LEJANA,here_routing,7987,success,1719.17,1127.0,5075.0,7559.19,12634.19,sakbe_segmented,,5,522.4000000000001,43.7,4077.2800000000007,47.6,5075.0,7559.19,12634.189999999999,SAKBE_INEGI
Candela,26.836,-100.6669,1,NORESTE,161.33,2.3,443.66,709.85,1153.51,REGIONAL,here_routing,1187,success,151.65,152.7,0.0,666.81,666.81,sakbe,,1,-9.680000000000007,-6.0,-486.70000000000005,-42.2,0.0,666.81,666.81,SAKBE_INEGI
Mier y Noriega,23.423,-100.1186,1,NORESTE,401.89,5.7,1105.2,1768.32,2873.51,FORANEA,here_routing,3234,success,359.75,267.6,473.0,1581.82,2054.82,sakbe,,1,-42.139999999999986,-10.5,-818.69,-28.5,473.0,1581.82,2054.8199999999997,SAKBE_INEGI
Aramberri,24.1001,-99.8167,1,NORESTE,320.67,4.6,881.84,1410.95,2292.79,FORANEA,here_routing,3561,success,317.39,232.8,473.0,1395.56,1868.56,sakbe,,1,-3.2800000000000296,-1.0,-424.23,-18.5,473.0,1395.56,1868.56,SAKBE_INEGI
Nava,28.4243,-100.7647,1,NORESTE,423.72,6.1,1165.23,1864.37,3029.6,FORANEA,here_routing,2462,success,417.2,293.2,621.0,1834.43,2455.43,sakbe,,1,-6.520000000000039,-1.5,-574.1700000000001,-19.0,621.0,1834.43,2455.4300000000003,SAKBE_INEGI
